fTrnhisTblDstic,text,F거래내역테이블구분,F거래내역테이블구분,F거래내역테이블구분,0
fAcctgBaseDstcd,text,F회계기준구분코드,F회계기준구분코드,F회계기준구분코드,0
fCncycd,text,F통화코드,F통화코드,F통화코드,0
fHndlnBrncd,text,F취급부점코드,F취급부점코드,F취급부점코드,0
fAcitmPrcssBrncd,text,F계정처리부점코드,F계정처리부점코드,F계정처리부점코드,0
fPrdctLagClsfiCd,text,F상품대분류코드,F상품대분류코드,F상품대분류코드,0
fPrdctMedmClsfiCd,text,F상품중분류코드,F상품중분류코드,F상품중분류코드,0
fPrdctTmpltCd,text,F상품템플릿코드,F상품템플릿코드,F상품템플릿코드,0
fPrdctNo,text,F상품번호,F상품번호,F상품번호,0
fIdiviCd,text,F개별코드,F개별코드,F개별코드,0
fTxitmCd,text,F세목코드,F세목코드,F세목코드,0
fAmtPtrnCd,text,F금액유형코드,F금액유형코드,F금액유형코드,0
fRcdrwDstcd,text,F입출금구분코드,F입출금구분코드,F입출금구분코드,0
fAcctgPrcssDstcd,text,F회계처리구분코드,F회계처리구분코드,F회계처리구분코드,0
fInotFcrna,DECIMAL(18|3),F입출외화금액,F입출외화금액,F입출외화금액,0
fInotWoncAmt,DECIMAL(15|0),F입출원화금액,F입출원화금액,F입출원화금액,0
fFCTrfamt,DECIMAL(18|3),F외화대체금액,F외화대체금액,F외화대체금액,0
fFCTrferWoncAmt,DECIMAL(15|0),F외화대체원화금액,F외화대체원화금액,F외화대체원화금액,0
fPosiFcrna,DECIMAL(18|3),F포지션외화금액,F포지션외화금액,F포지션외화금액,0
fPosiCshWoncAmt,DECIMAL(15|0),F포지션현금원화금액,F포지션현금원화금액,F포지션현금원화금액,0
fPosiTrferWoncAmt,DECIMAL(15|0),F포지션대체원화금액,F포지션대체원화금액,F포지션대체원화금액,0
fInofDstcd,text,F본지점구분코드,F본지점구분코드,F본지점구분코드,0
fExrtDstcd,text,F환율구분코드,F환율구분코드,F환율구분코드,0
fExrtAplyBaseYmd,text,F환율적용기준년월일,F환율적용기준년월일,F환율적용기준년월일,0
fExrtAplyNth,DECIMAL(5|0),F환율적용회차,F환율적용회차,F환율적용회차,0
fAplyExrt,DECIMAL(15|6),F적용환율,F적용환율,F적용환율,0
fExrtPferRt,DECIMAL(3|0),F환율우대율,F환율우대율,F환율우대율,0
fExrtAthorNo,DECIMAL(6|0),F환율승인번호,F환율승인번호,F환율승인번호,0
fAnounExrt,DECIMAL(15|6),F고시환율,F고시환율,F고시환율,0
fPosiAdjsExrt,DECIMAL(15|6),F포지션조정환율,F포지션조정환율,F포지션조정환율,0
fFCBtnExrt,DECIMAL(15|6),F외화간환율,F외화간환율,F외화간환율,0
fDealPtlosPrcssBrncd,text,F매매손익처리부점코드,F매매손익처리부점코드,F매매손익처리부점코드,0
fBzwkMgtNo1,text,F업무관리번호1,F업무관리번호1,F업무관리번호1,0
fBzwkMgtNo2,text,F업무관리번호2,F업무관리번호2,F업무관리번호2,0
fBzwkMgtNo3,text,F업무관리번호3,F업무관리번호3,F업무관리번호3,0
fFCIntYn,text,F외화이자여부,F외화이자여부,F외화이자여부,0
fFCBalPtrnCd,text,F외화잔액유형코드,F외화잔액유형코드,F외화잔액유형코드,0
