groupCoCd,text,그룹회사코드,그룹회사코드,그룹회사코드,,
acno,text,계좌번호,계좌번호,계좌번호,,
prdctCtrcNth,decimal,상품계약회차,상품계약회차,상품계약회차,0,
prdctCndnCd,text,상품조건코드,상품조건코드,상품조건코드,,
prdctCtrcCndnSerno,decimal,상품계약조건일련번호,상품계약조건일련번호,상품계약조건일련번호,0,
cnclYn,text,취소여부,취소여부,취소여부,,
tranCd,text,거래코드,거래코드,거래코드,,
pconCndnStusModfiMdiaDstcd,text,조건상태변경매체구분,조건상태변경매체구분,조건상태변경매체구분,,
valdStartYmd,text,유효시작년월일,유효시작년월일,유효시작년월일,,
valdEndYmd,text,유효종료년월일,유효종료년월일,유효종료년월일,,
ritbfPconCndnSerno,decimal,직전계약조건일련번호,직전계약조건일련번호,직전계약조건일련번호,0,
prdctCndnPtrnDstcd,text,상품조건유형구분,상품조건유형구분,상품조건유형구분,,
catlguCndnCd,text,목록조건코드,목록조건코드,목록조건코드,,
rangVal,decimal,범위값,범위값,범위값,5,
mesrmtUnitPtrnDstcd,text,측정단위유형구분,측정단위유형구분,측정단위유형구분,,
hndlnBrncd,text,취급부점코드,취급부점코드,취급부점코드,,
tranUno,text,거래사용자번호,거래사용자번호,거래사용자번호,,
sysLastPrcssYMS,text,시스템최종처리일시,시스템최종처리일시,시스템최종처리일시,,
sysLastUno,text,시스템최종사용자번호,시스템최종사용자번호,시스템최종사용자번호,,
