groupCoCd,text,그룹회사코드,그룹회사코드,그룹회사코드,,
acno,text,계좌번호,계좌번호,계좌번호,,
prdctCtrcNth,decimal,상품계약회차,상품계약회차,상품계약회차,0,
serno,decimal,일련번호,일련번호,일련번호,0,
prdctCtrcStusDstcd,text,상품계약상태구분,상품계약상태구분,상품계약상태구분,,
prdctCtrcStusModfiResnDstcd,text,계약상태변경사유구분,계약상태변경사유구분,계약상태변경사유구분,,
stusModfiYmd,text,상태변경년월일,상태변경년월일,상태변경년월일,,
prcssBrncd,text,처리부점코드,처리부점코드,처리부점코드,,
spareTranDstcd,text,예비거래구분,예비거래구분,예비거래구분,,
spareNewAmt,decimal,예비신규금액,예비신규금액,예비신규금액,3,
tranUno,text,거래사용자번호,거래사용자번호,거래사용자번호,,
sysLastPrcssYMS,text,시스템최종처리일시,시스템최종처리일시,시스템최종처리일시,,
sysLastUno,text,시스템최종사용자번호,시스템최종사용자번호,시스템최종사용자번호,,
