groupCoCd,text,그룹회사코드,그룹회사코드,그룹회사코드,,
acno,text,계좌번호,계좌번호,계좌번호,,
prdctCtrcNth,decimal,상품계약회차,상품계약회차,상품계약회차,0,
prdctCtrcEmpRelshpDstcd,text,상품계약직원관계구분,상품계약직원관계구분,상품계약직원관계구분,,
prdctCtrcEmpRelshpSerno,decimal,직원관계일련번호,직원관계일련번호,직원관계일련번호,0,
uno,text,사용자번호,사용자번호,사용자번호,,
relshpStartYmd,text,관계시작년월일,관계시작년월일,관계시작년월일,,
relshpEndYmd,text,관계종료년월일,관계종료년월일,관계종료년월일,,
pconEmpRsmodResnDstcd,text,직원관계상태변경사유,직원관계상태변경사유,직원관계상태변경사유,,
regiBrncd,text,등록부점코드,등록부점코드,등록부점코드,,
revocBrncd,text,해제부점코드,해제부점코드,해제부점코드,,
regiYmd,text,등록년월일,등록년월일,등록년월일,,
revocYmd,text,해제년월일,해제년월일,해제년월일,,
regiHMS,text,등록시각,등록시각,등록시각,,
revocHMS,text,해제시각,해제시각,해제시각,,
regiUno,text,등록사용자번호,등록사용자번호,등록사용자번호,,
revocUno,text,해제사용자번호,해제사용자번호,해제사용자번호,,
sysLastPrcssYMS,text,시스템최종처리일시,시스템최종처리일시,시스템최종처리일시,,
sysLastUno,text,시스템최종사용자번호,시스템최종사용자번호,시스템최종사용자번호,,
