groupCoCd,text,그룹회사코드,그룹회사코드,그룹회사코드,,
acno,text,계좌번호,계좌번호,계좌번호,,
prdctCtrcNth,decimal,상품계약회차,상품계약회차,상품계약회차,0,
fXIrtBzwkDstcd,text,외환금리업무구분,외환금리업무구분,외환금리업무구분,,
aplyStartYmd,text,적용시작년월일,적용시작년월일,적용시작년월일,,
serno,decimal,일련번호,일련번호,일련번호,0,
irtCmptnYmd,text,금리산출년월일,금리산출년월일,금리산출년월일,,
aplyEndYmd,text,적용종료년월일,적용종료년월일,적용종료년월일,,
aplyIrt,decimal,적용금리,적용금리,적용금리,5,
irtSysTmpltIdnfr,text,금리체계템플릿식별자,금리체계템플릿식별자,금리체계템플릿식별자,,
irtSysIdnfr,text,금리체계식별자,금리체계식별자,금리체계식별자,,
irtTranPtrnDstcd,text,금리거래유형구분,금리거래유형구분,금리거래유형구분,,
irtCmptnPtrnDstcd,text,금리산출유형구분,금리산출유형구분,금리산출유형구분,,
lnbzBascIrtDstcd,text,여신기본금리구분,여신기본금리구분,여신기본금리구분,,
cnclYn,text,취소여부,취소여부,취소여부,,
fulflIrtYn,text,이행금리여부,이행금리여부,이행금리여부,,
sysLastPrcssYMS,text,시스템최종처리일시,시스템최종처리일시,시스템최종처리일시,,
sysLastUno,text,시스템최종사용자번호,시스템최종사용자번호,시스템최종사용자번호,,
nxdayAplyTagetYn,text,익일적용대상여부,익일적용대상여부,익일적용대상여부,,
