groupCoCd,text,그룹회사코드,그룹회사코드,그룹회사코드,,
acno,text,계좌번호,계좌번호,계좌번호,,
bnkbkWtbbkCustnm,text,통장기장고객명,통장기장고객명,통장기장고객명,,
custSelctBnkbkName,text,고객선택통장명,고객선택통장명,고객선택통장명,,
bnkbkDsgnDstcd,text,통장디자인구분,통장디자인구분,통장디자인구분,,
typngWayDstcd,text,인자방법구분,인자방법구분,인자방법구분,,
bnkbkTypngWayRegiYmd,text,인자방법등록년월일,인자방법등록년월일,인자방법등록년월일,,
lastBnkbkCntshtCnt,decimal,최종통장장수,최종통장장수,최종통장장수,0,
lastBnkbkWtbbkRowCnt,decimal,최종통장기장행수,최종통장기장행수,최종통장기장행수,0,
lastBnkbkWtbbkYmd,text,최종통장기장년월일,최종통장기장년월일,최종통장기장년월일,,
lastBnkbkWtbbkSerno,decimal,최종통장기장일련번호,최종통장기장일련번호,최종통장기장일련번호,0,
lastBnkbkIssuncNth,decimal,최종통장발급회차,최종통장발급회차,최종통장발급회차,0,
typngUsagBnkbkIssuncNth,decimal,인자용통장발급회차,인자용통장발급회차,인자용통장발급회차,0,
lastBnkbkDeedIssuSerno,decimal,최종발행일련번호,최종발행일련번호,최종발행일련번호,0,
lastTypngYmd,text,최종인자년월일,최종인자년월일,최종인자년월일,,
bnkbkDeedIssuDstcd,text,통장증서발행구분,통장증서발행구분,통장증서발행구분,,
bnkbkDeedKndDstcd,text,통장증서종류구분,통장증서종류구분,통장증서종류구분,,
bnkbkNotWtbbkNoitm,decimal,통장미기장건수,통장미기장건수,통장미기장건수,0,
notWtbbkStartYmd,text,미기장시작년월일,미기장시작년월일,미기장시작년월일,,
bnkbkBal,decimal,통장잔액,통장잔액,통장잔액,3,
bnkbkBaseSideCnt,decimal,통장기준면수,통장기준면수,통장기준면수,0,
bnkbkBaseBnkCnt,decimal,통장기준행수,통장기준행수,통장기준행수,0,
bnkbkIssuncNthErrNotms,decimal,통장발급회차오류횟수,통장발급회차오류횟수,통장발급회차오류횟수,0,
cbiNo,text,중요증서번호,중요증서번호,중요증서번호,,
deedIssuDstcd,text,증서발행구분,증서발행구분,증서발행구분,,
deedUniqno,text,증서고유번호,증서고유번호,증서고유번호,,
bnkbkUniqNo,text,통장고유번호,통장고유번호,통장고유번호,,
cmpsTranExstYn,text,압축거래존재여부,압축거래존재여부,압축거래존재여부,,
cmpsTranStartYmd,text,압축거래시작년월일,압축거래시작년월일,압축거래시작년월일,,
cmpsTranEndYmd,text,압축거래종료년월일,압축거래종료년월일,압축거래종료년월일,,
cmpsMnrcvTranCnt,decimal,압축입금거래수,압축입금거래수,압축입금거래수,0,
cmpsMrvamt,decimal,압축입금금액,압축입금금액,압축입금금액,3,
cmpsDrwotTranCnt,decimal,압축출금거래수,압축출금거래수,압축출금거래수,0,
cmpsDrwotAmt,decimal,압축출금금액,압축출금금액,압축출금금액,3,
cmpsAfBal,decimal,압축후잔액,압축후잔액,압축후잔액,3,
nmnlModfiAfNtisudYn,text,명의변경후미발행여부,명의변경후미발행여부,명의변경후미발행여부,,
sysLastPrcssYMS,text,시스템최종처리일시,시스템최종처리일시,시스템최종처리일시,,
sysLastUno,text,시스템최종사용자번호,시스템최종사용자번호,시스템최종사용자번호,,
