groupCoCd,CHAR(3),그룹회사코드,그룹회사코드,그룹회사코드,0, 
acno,CHAR(20),계좌번호,계좌번호,계좌번호,0, 
prdctCtrcStusDstcd,CHAR(1),상품계약상태구분,상품계약상태구분,상품계약상태구분,0, 
prdctCtrcStusModfiResnDstcd,CHAR(3),계약상태변경사유구분,계약상태변경사유구분,계약상태변경사유구분,0, 
prdctCtrcAgreYmd,CHAR(8),상품계약약정년월일,상품계약약정년월일,상품계약약정년월일,0, 
prdctCtrcCretnYmd,CHAR(8),상품계약생성년월일,상품계약생성년월일,상품계약생성년월일,0, 
prdctCtrcDscrdYmd,CHAR(8),상품계약폐기년월일,상품계약폐기년월일,상품계약폐기년월일,0, 
prdctCtrcExpirYmd,CHAR(8),상품계약만기년월일,상품계약만기년월일,상품계약만기년월일,0, 
acnUndtkInstiDstcd,CHAR(2),계좌인수기관구분,계좌인수기관구분,계좌인수기관구분,0, 
pconRceptDstcd,CHAR(2),상품계약접수구분,상품계약접수구분,상품계약접수구분,0, 
prdctCtrcAgreMdiaDstcd,CHAR(2),상품계약약정매체구분,상품계약약정매체구분,상품계약약정매체구분,0, 
prdctLagClsfiCd,CHAR(2),상품대분류코드,상품대분류코드,상품대분류코드,0, 
prdctMedmClsfiCd,CHAR(2),상품중분류코드,상품중분류코드,상품중분류코드,0, 
prdctTmpltCd,CHAR(3),상품템플릿코드,상품템플릿코드,상품템플릿코드,0, 
prdctNo,CHAR(5),상품번호,상품번호,상품번호,0, 
lnQulfiDstcd,CHAR(3),대출자격구분,대출자격구분,대출자격구분,0, 
idiviCd,CHAR(3),개별코드,개별코드,개별코드,0, 
gnldrTstCmbnDstcd,CHAR(3),계리신탁합동구분,계리신탁합동구분,계리신탁합동구분,0, 
gnldrTstFundCd,CHAR(3),계리신탁펀드코드,계리신탁펀드코드,계리신탁펀드코드,0, 
ctcrCustIdnfr,CHAR(10),계약자고객식별자,계약자고객식별자,계약자고객식별자,0, 
ctcrCustMgtNo,CHAR(5),계약자고객관리번호,계약자고객관리번호,계약자고객관리번호,0, 
newPtimTranrDstcd,CHAR(2),신규시거래자구분,신규시거래자구분,신규시거래자구분,0, 
newPtimCprno,CHAR(13),신규시법인등록번호,신규시법인등록번호,신규시법인등록번호,0, 
newStndzIdstryClsfiCd,CHAR(5),신규표준산업분류코드,신규표준산업분류코드,신규표준산업분류코드,0, 
newPtimCorpScalDstcd,CHAR(1),신규시기업규모구분,신규시기업규모구분,신규시기업규모구분,0, 
jntBrwrRegiStusDstcd,CHAR(1),공동차주등록상태구분,공동차주등록상태구분,공동차주등록상태구분,0, 
mgtBrncd,CHAR(4),관리부점코드,관리부점코드,관리부점코드,0, 
