groupCoCd,text,그룹회사코드,그룹회사코드,그룹회사코드,,
acno,text,계좌번호,계좌번호,계좌번호,,
prdctCtrcNth,decimal,상품계약회차,상품계약회차,상품계약회차,0,
pconPrdctBascRelshpSerno,decimal,상품기본관계일련번호,상품기본관계일련번호,상품기본관계일련번호,0,
prdctLagClsfiCd,text,상품대분류코드,상품대분류코드,상품대분류코드,,
prdctMedmClsfiCd,text,상품중분류코드,상품중분류코드,상품중분류코드,,
prdctTmpltCd,text,상품템플릿코드,상품템플릿코드,상품템플릿코드,,
prdctNo,text,상품번호,상품번호,상품번호,,
acnPrdctIdnfiDstcd,text,계좌상품식별구분,계좌상품식별구분,계좌상품식별구분,,
relshpStartYmd,text,관계시작년월일,관계시작년월일,관계시작년월일,,
relshpEndYmd,text,관계종료년월일,관계종료년월일,관계종료년월일,,
